time,temp,feels_like,humidity,precip,precip_prob,wind,kind,status
2026-08-24 00:00:00,25.1,31.0,93,0.0,0,0.8,실측,작업가능
2026-08-24 01:00:00,24.5,29.9,94,0.0,1,2.5,실측,작업가능
2026-08-24 02:00:00,24.2,29.4,94,0.0,1,3.3,실측,작업가능
2026-08-24 03:00:00,23.9,29.1,95,0.0,2,2.7,실측,작업가능
2026-08-24 04:00:00,23.7,28.8,96,0.0,2,2.5,실측,작업가능
2026-08-24 05:00:00,23.6,28.8,97,0.0,3,2.9,실측,작업가능
2026-08-24 06:00:00,23.2,28.1,98,0.0,4,3.1,실측,작업가능
2026-08-24 07:00:00,23.4,28.7,98,0.0,8,1.8,실측,작업가능
2026-08-24 08:00:00,24.6,30.1,92,0.0,13,1.1,실측,작업가능
2026-08-24 09:00:00,26.3,32.0,84,0.0,16,0.7,실측,작업가능
2026-08-24 10:00:00,28.2,34.1,78,0.0,13,1.1,실측,작업가능
2026-08-24 11:00:00,29.8,36.3,73,0.0,7,2.2,실측,작업가능
2026-08-24 12:00:00,31.0,38.0,69,0.0,6,3.6,실측,작업가능
2026-08-24 13:00:00,31.7,38.3,66,0.0,16,5.1,실측,작업가능
2026-08-24 14:00:00,32.2,38.6,63,0.0,32,6.2,실측,주의
2026-08-24 15:00:00,32.3,38.3,62,0.0,39,6.3,실측,주의
2026-08-24 16:00:00,31.4,37.0,67,0.0,30,6.9,실측,주의
2026-08-24 17:00:00,30.2,35.4,70,0.0,12,6.7,실측,작업가능
2026-08-24 18:00:00,28.9,33.6,71,0.0,0,6.3,실측,작업가능
2026-08-24 19:00:00,27.5,32.6,79,0.0,0,5.4,실측,작업가능
2026-08-24 20:00:00,26.8,32.0,83,0.0,2,4.7,실측,작업가능
2026-08-24 21:00:00,26.2,31.9,88,0.0,4,3.2,실측,작업가능
2026-08-24 22:00:00,25.4,31.2,93,0.0,2,3.4,실측,작업가능
2026-08-24 23:00:00,25.1,30.3,94,0.0,0,6.1,실측,작업가능
2026-08-25 00:00:00,24.8,30.3,96,0.0,2,5.0,실측,작업가능
2026-08-25 01:00:00,24.5,30.2,98,0.0,11,3.9,실측,작업가능
2026-08-25 02:00:00,24.2,29.9,99,0.0,25,3.3,실측,작업가능
2026-08-25 03:00:00,24.0,29.5,99,0.0,39,3.9,실측,주의
2026-08-25 04:00:00,24.1,29.7,99,0.0,52,3.3,실측,주의
2026-08-25 05:00:00,23.9,29.3,99,0.0,65,3.4,실측,중단
2026-08-25 06:00:00,23.8,29.1,99,0.0,75,4.1,실측,중단
2026-08-25 07:00:00,24.1,29.8,99,0.1,82,3.1,실측,중단
2026-08-25 08:00:00,24.6,30.7,99,0.0,85,2.6,실측,중단
2026-08-25 09:00:00,25.1,31.4,98,0.1,88,2.0,실측,중단
2026-08-25 10:00:00,26.7,33.2,91,0.1,90,2.1,실측,중단
2026-08-25 11:00:00,27.9,34.7,86,0.3,90,1.8,실측,중단
2026-08-25 12:00:00,28.4,35.1,84,1.3,88,3.0,실측,중단
2026-08-25 13:00:00,28.3,35.1,87,2.4,80,3.7,실측,중단
2026-08-25 14:00:00,29.3,35.5,78,0.2,69,4.2,실측,중단
2026-08-25 15:00:00,30.2,36.2,72,0.0,63,3.7,실측,중단
2026-08-25 16:00:00,30.0,35.8,72,0.0,67,4.3,실측,중단
