회사명,연도,매출액(억원),영업이익률(%)
쌍용씨앤이,2020,14708.0,17.0
쌍용씨앤이,2021,16614.0,15.0
쌍용씨앤이,2022,19650.4,11.2
쌍용씨앤이,2023,18694.1,9.8
쌍용씨앤이,2024,16957.3,11.2
쌍용씨앤이,2025,14886.4,7.1
한일시멘트,2020,9742.9,13.6
한일시멘트,2021,12718.5,9.5
한일시멘트,2022,14875.7,7.9
한일시멘트,2023,17995.0,13.7
한일시멘트,2024,17416.7,15.6
한일시멘트,2025,14238.6,9.3
아세아시멘트,2020,7875.5,9.6
아세아시멘트,2021,8925.7,14.4
아세아시멘트,2022,10401.5,11.3
아세아시멘트,2023,12004.5,12.2
아세아시멘트,2024,11103.4,12.7
아세아시멘트,2025,10227.9,7.5
성신양회,2020,7223.1,2.9
성신양회,2021,8335.4,3.6
성신양회,2022,10304.1,0.2
성신양회,2023,11132.8,6.6
성신양회,2024,11626.3,4.6
성신양회,2025,12162.7,3.6
