회사명,연도,유형자산취득액(억원),부채비율(%)
쌍용씨앤이,2020,1555.5,96.9
쌍용씨앤이,2021,1993.1,115.3
쌍용씨앤이,2022,2548.3,143.2
쌍용씨앤이,2023,1861.2,130.5
쌍용씨앤이,2024,2098.0,171.7
쌍용씨앤이,2025,1401.0,101.6
한일시멘트,2020,393.4,76.7
한일시멘트,2021,592.8,62.5
한일시멘트,2022,1107.0,56.2
한일시멘트,2023,2065.2,66.8
한일시멘트,2024,1730.8,62.5
한일시멘트,2025,1544.0,62.4
아세아시멘트,2020,494.7,130.9
아세아시멘트,2021,665.8,121.5
아세아시멘트,2022,820.1,108.4
아세아시멘트,2023,1428.2,102.1
아세아시멘트,2024,1287.6,98.4
아세아시멘트,2025,1269.9,97.8
성신양회,2020,33.6,167.6
성신양회,2021,166.6,170.9
성신양회,2022,60.2,199.7
성신양회,2023,57.7,143.5
성신양회,2024,766.8,137.6
성신양회,2025,522.3,120.5
