balPayments,expDlr,expWgt,hsCd,impDlr,impWgt,statCd,statCdCntnKor1,statKor,year,material
-31738887,0,0,270111,31738887,166127821,AU,호주,무연탄,2025.01,석탄(무연탄/유연탄)
-426799744,0,0,270112,426799744,2875420610,AU,호주,유연탄,2025.01,석탄(무연탄/유연탄)
-99,0,0,270119,99,20,AU,호주,그 밖의 석탄,2025.01,석탄(무연탄/유연탄)
-22081708,0,0,270111,22081708,122220050,AU,호주,무연탄,2025.02,석탄(무연탄/유연탄)
-258298298,0,0,270112,258298298,1814598477,AU,호주,유연탄,2025.02,석탄(무연탄/유연탄)
-28,0,0,270119,28,5,AU,호주,그 밖의 석탄,2025.02,석탄(무연탄/유연탄)
-9364759,0,0,270111,9364759,57245000,AU,호주,무연탄,2025.03,석탄(무연탄/유연탄)
-293588174,0,0,270112,293588174,1974765678,AU,호주,유연탄,2025.03,석탄(무연탄/유연탄)
-91,0,0,270119,91,19,AU,호주,그 밖의 석탄,2025.03,석탄(무연탄/유연탄)
-33848572,0,0,270111,33848572,224108460,AU,호주,무연탄,2025.04,석탄(무연탄/유연탄)
-436514603,0,0,270112,436514603,2889343611,AU,호주,유연탄,2025.04,석탄(무연탄/유연탄)
-270,0,0,270119,270,79,AU,호주,그 밖의 석탄,2025.04,석탄(무연탄/유연탄)
-17015210,0,0,270111,17015210,101617000,AU,호주,무연탄,2025.05,석탄(무연탄/유연탄)
-297941957,0,0,270112,297941957,2060210544,AU,호주,유연탄,2025.05,석탄(무연탄/유연탄)
-165,0,0,270119,165,38,AU,호주,그 밖의 석탄,2025.05,석탄(무연탄/유연탄)
-19333461,0,0,270111,19333461,118645010,AU,호주,무연탄,2025.06,석탄(무연탄/유연탄)
-281334151,0,0,270112,281334151,1965222302,AU,호주,유연탄,2025.06,석탄(무연탄/유연탄)
-606,0,0,270119,606,173,AU,호주,그 밖의 석탄,2025.06,석탄(무연탄/유연탄)
-13825919,0,0,270111,13825919,87421000,AU,호주,무연탄,2025.07,석탄(무연탄/유연탄)
-455002713,0,0,270112,455002713,3602630637,AU,호주,유연탄,2025.07,석탄(무연탄/유연탄)
-127,0,0,270119,127,26,AU,호주,그 밖의 석탄,2025.07,석탄(무연탄/유연탄)
-26665,0,0,270120,26665,24640,AU,호주,석탄으로 제조한 연탄ㆍ조개탄(ovoid)과 이와 유사한 고체 연료,2025.07,석탄(무연탄/유연탄)
-12987613,0,0,270111,12987613,83094720,AU,호주,무연탄,2025.08,석탄(무연탄/유연탄)
-338578907,0,0,270112,338578907,2622965486,AU,호주,유연탄,2025.08,석탄(무연탄/유연탄)
-26,0,0,270119,26,5,AU,호주,그 밖의 석탄,2025.08,석탄(무연탄/유연탄)
-4928571,0,0,270111,4928571,60000000,AU,호주,무연탄,2025.09,석탄(무연탄/유연탄)
-465820471,0,0,270112,465820471,3571289834,AU,호주,유연탄,2025.09,석탄(무연탄/유연탄)
-176,0,0,270119,176,37,AU,호주,그 밖의 석탄,2025.09,석탄(무연탄/유연탄)
-19132100,0,0,270111,19132100,126172000,AU,호주,무연탄,2025.10,석탄(무연탄/유연탄)
-435800858,0,0,270112,435800858,3872193236,AU,호주,유연탄,2025.10,석탄(무연탄/유연탄)
-189,0,0,270119,189,35,AU,호주,그 밖의 석탄,2025.10,석탄(무연탄/유연탄)
-17662321,0,0,270111,17662321,115346030,AU,호주,무연탄,2025.11,석탄(무연탄/유연탄)
