timestamp,line_id,equipment_id,sensor_type,value,unit
2026-09-07 08:00:00,LINE-A,EQ-101,temperature,72.3,C
2026-09-07 08:10:00,LINE-A,EQ-101,temperature,73.1,C
2026-09-07 08:20:00,LINE-A,EQ-101,temperature,74.5,C
2026-09-07 08:30:00,LINE-A,EQ-101,temperature,75.8,C
2026-09-07 08:40:00,LINE-A,EQ-101,temperature,78.2,C
2026-09-07 08:50:00,LINE-A,EQ-101,temperature,81.6,C
2026-09-07 09:00:00,LINE-A,EQ-101,temperature,85.0,C
2026-09-07 09:10:00,LINE-A,EQ-101,temperature,88.4,C
2026-09-07 09:20:00,LINE-A,EQ-101,temperature,91.2,C
2026-09-07 09:30:00,LINE-A,EQ-101,temperature,93.7,C
2026-09-07 09:40:00,LINE-A,EQ-101,temperature,89.1,C
2026-09-07 09:50:00,LINE-A,EQ-101,temperature,84.3,C
2026-09-07 08:00:00,LINE-B,EQ-202,temperature,65.2,C
2026-09-07 08:10:00,LINE-B,EQ-202,temperature,66.0,C
2026-09-07 08:20:00,LINE-B,EQ-202,temperature,67.4,C
2026-09-07 08:30:00,LINE-B,EQ-202,temperature,69.9,C
2026-09-07 08:40:00,LINE-B,EQ-202,temperature,70.5,C
2026-09-07 08:50:00,LINE-B,EQ-202,temperature,71.8,C
2026-09-07 09:00:00,LINE-B,EQ-202,temperature,73.0,C
2026-09-07 09:10:00,LINE-B,EQ-202,temperature,74.2,C
2026-09-07 09:20:00,LINE-B,EQ-202,temperature,76.6,C
2026-09-07 09:30:00,LINE-B,EQ-202,temperature,90.5,C
2026-09-07 09:40:00,LINE-B,EQ-202,temperature,95.8,C
2026-09-07 09:50:00,LINE-B,EQ-202,temperature,77.1,C
2026-09-07 08:00:00,LINE-C,EQ-303,temperature,60.0,C
2026-09-07 08:10:00,LINE-C,EQ-303,temperature,61.3,C
2026-09-07 08:20:00,LINE-C,EQ-303,temperature,62.7,C
2026-09-07 08:30:00,LINE-C,EQ-303,temperature,63.9,C
2026-09-07 08:40:00,LINE-C,EQ-303,temperature,64.5,C
2026-09-07 08:50:00,LINE-C,EQ-303,temperature,65.8,C
2026-09-07 09:00:00,LINE-C,EQ-303,temperature,66.2,C
2026-09-07 09:10:00,LINE-C,EQ-303,temperature,67.5,C
2026-09-07 09:20:00,LINE-C,EQ-303,temperature,68.9,C
2026-09-07 09:30:00,LINE-C,EQ-303,temperature,70.1,C
2026-09-07 09:40:00,LINE-C,EQ-303,temperature,71.4,C
2026-09-07 09:50:00,LINE-C,EQ-303,temperature,72.6,C
